ID,Nama Tempat,Alamat Lengkap,Latitude,Longitude,Kategori,Jam Buka,Rating,Jumlah Ulasan,Nomor Telepon,Website,Link Google Maps
ChIJe43XdHEuMTAROd5xOFsTihY,Graha Bunda Maria Annai Velangkanni,"Jl. Taman Sakura Indah Jl. Sakura III No.7-10, Tanjung Selamat, Medan Tuntungan, Medan City, North Sumatra 20135, Indonesia",,,,,4.8,4649,+62 61 8201943,http://www.velangkanni.com/,https://www.google.com/maps/place/?q=place_id:ChIJe43XdHEuMTAROd5xOFsTihY
ChIJz_41qy0wMTARGhpYhUhdZAE,Vihara Gunung Timur,"Jl. Hang Tuah No.16, Madras Hulu, Medan Polonia, Medan City, North Sumatra 20151, Indonesia",,,,,4.7,543,,,https://www.google.com/maps/place/?q=place_id:ChIJz_41qy0wMTARGhpYhUhdZAE
ChIJXUfj_zQyMTARJ2nhP5FokfI,Maha Vihara Maitreya,"Medan, Komplek Perumahan Cemara Asri Jl. Cemara Asri Boulevard Raya No.8, Percut Sei Tuan, Deli Serdang Regency, North Sumatra 20371, Indonesia",,,,,4.7,4315,+62 61 6633300,http://www.mahaviharamaitreya.org/,https://www.google.com/maps/place/?q=place_id:ChIJXUfj_zQyMTARJ2nhP5FokfI
ChIJaexxOdQxMTARt3BU1MPMyK0,Mariamman Temple,"Jl. Teuku Umar No.18, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20151, Indonesia",,,,,4.6,967,,,https://www.google.com/maps/place/?q=place_id:ChIJaexxOdQxMTARt3BU1MPMyK0
ChIJXa1FqYoxMTARo2uqjLM_5tU,Wisata Rohani Medan (Ziarek Tour Medan),"Jl. Busi No.3, Kampung Baru, Medan Maimun, Medan City, North Sumatra 20219, Indonesia",,,,,,,+62 813-6155-8870,https://wisatarohanimedan.com/,https://www.google.com/maps/place/?q=place_id:ChIJXa1FqYoxMTARo2uqjLM_5tU
ChIJlXv7raoxMTARIhy9L4UGHOU,Vihara Gunung Timur Sakti,"JL. AR. Hakim, No. 24, Sukaramai II, Kec. Medan Area, Kota Medan, Sumatera Utara 20224, Indonesia",,,,,4.8,59,,,https://www.google.com/maps/place/?q=place_id:ChIJlXv7raoxMTARIhy9L4UGHOU
ChIJi5MuR80xMTARc3lHD5sl7rw,Masjid Agung Kota Medan Sumatera Utara,"Jl. Pangeran Diponegoro, Madras Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara, Indonesia",,,,,4.8,4088,,http://www.sumutprov.go.id/,https://www.google.com/maps/place/?q=place_id:ChIJi5MuR80xMTARc3lHD5sl7rw
ChIJ9cxMfsoxMTARnnrHhUR7hfw,Cathedral of Immaculate Conception,"Jl. Pemuda No.1, A U R, Medan Maimun, Medan City, North Sumatra 20212, Indonesia",,,,,4.8,690,+62 61 4552753,https://katedralmedan.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJ9cxMfsoxMTARnnrHhUR7hfw
ChIJR_Z-FnbNNjAR1xTb6X8xWMc,Al-Osmani Mosque,"JL Kol Yos Sudarso, Km. 19, 5, Labuhan, Pekan Labuhan, Kec. Medan Labuhan, Kota Medan, Sumatera Utara 20252, Indonesia",,,,,4.8,1087,+62 61 6853484,http://www.medanwisata.com/2014/03/masjid-raya-al-osmani-medan-sumatera.html,https://www.google.com/maps/place/?q=place_id:ChIJR_Z-FnbNNjAR1xTb6X8xWMc
ChIJaRymPB8uMTARuV7mxMgh41w,Wat Phakor,"Jl. Danau Ranau No.22F, Sei Agul, Medan Barat, Medan City, North Sumatra 20114, Indonesia",,,,,5,9,,,https://www.google.com/maps/place/?q=place_id:ChIJaRymPB8uMTARuV7mxMgh41w
ChIJ2aVf2tUxMTARWLeiabXrpu8,MASJID RAYA ACEH SEPAKAT,"HMP6+3RG, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111, Indonesia",,,,,4.9,704,,,https://www.google.com/maps/place/?q=place_id:ChIJ2aVf2tUxMTARWLeiabXrpu8
ChIJZ4ThickxMTARvvjDDIvvrcw,Tjong A Fie Mansion,"Jl. Jend. Ahmad Yani No.105, Kesawan, Medan Barat, Medan City, North Sumatra 20111, Indonesia",,,,,4.6,3274,+62 811-6130-388,http://www.tjongafiemansion.org/,https://www.google.com/maps/place/?q=place_id:ChIJZ4ThickxMTARvvjDDIvvrcw
ChIJZZRkn3HNNjARXgATg1An1rc,Siu San Keng Temple (寿山宫),"PMMG+73M, Jl. Syahbudin Yatim, Pekan Labuhan, Medan Labuhan, Medan City, North Sumatra 20253, Indonesia",,,,,4.8,191,,,https://www.google.com/maps/place/?q=place_id:ChIJZZRkn3HNNjARXgATg1An1rc
ChIJ9YBJ2iUwMTARtr8RvOUCmEY,Vihara Loka Santi லோகா சாந்தி விகாரை,"JL. Karya Pembangunan, Gg. E /50, Polonia, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20157, Indonesia",,,,,4.9,23,,,https://www.google.com/maps/place/?q=place_id:ChIJ9YBJ2iUwMTARtr8RvOUCmEY
ChIJb-19uLYxMTARTXNJJicIqaE,Catholic Church of Christ the King Parish,"Jl. M. T. Haryono No.36, Pusat Pasar, Medan Kota, Medan City, North Sumatra 20212, Indonesia",,,,,4.8,244,+62 61 4142144,https://instagram.com/omkkr_mdn?igshid=YzAwZjE1ZTI0Zg==,https://www.google.com/maps/place/?q=place_id:ChIJb-19uLYxMTARTXNJJicIqaE
ChIJ87P4z7YxMTARC31yYFgMyWU,Yayasan Gereja Methodist Indonesia Jemaat Gloria Medan 印尼卫理公会棉兰荣耀堂,"Jl. M. T. Haryono No.38, Pusat Pasar, Medan Kota, Medan City, North Sumatra 20212, Indonesia",,,,,4.8,151,+62 61 4524916,http://gmigloria.org/,https://www.google.com/maps/place/?q=place_id:ChIJ87P4z7YxMTARC31yYFgMyWU
ChIJY2qa4tYxMTARqM2X2AU3bAg,Wesley Methodist Church Medan,"Jl. Sultan Agung No.9, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20111, Indonesia",,,,,4.8,84,+62 61 4554742,https://youtube.com/@WesleyMethodistChurchMedan?feature=shared,https://www.google.com/maps/place/?q=place_id:ChIJY2qa4tYxMTARqM2X2AU3bAg
ChIJU4ISvTYwMTARfEGxf6L9rRE,Kuria Keuskupan Agung Medan,"Jl. Imam Bonjol No.39, J A T I, Medan Maimun, Medan City, North Sumatra, Indonesia",,,,,4.8,71,+62 61 4516647,http://archdioceseofmedan.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJU4ISvTYwMTARfEGxf6L9rRE
ChIJn9xwUawvMTARpjK_CEdgvMU,ELS Ministry Medan,"Jl. K.H. Wahid Hasyim No.53/72, Babura, Medan Baru, Medan City, North Sumatra 20154, Indonesia",,,,,4,1,,,https://www.google.com/maps/place/?q=place_id:ChIJn9xwUawvMTARpjK_CEdgvMU
ChIJrTXKvRgyMTARQY12Jsfs1gI,Church of Christian Assembly,"Jl. Gunung Krakatau No.35, Pulo Brayan Darat II, Medan Timur, Medan City, North Sumatra 20116, Indonesia",,,,,4.9,303,+62 811-6161-995,http://www.ccamedan.org/,https://www.google.com/maps/place/?q=place_id:ChIJrTXKvRgyMTARQY12Jsfs1gI
ChIJZSsGE28uMTAR43Z-4bbFzkU,Biara Kapusin Emmaus,"Jl. Beringin 3 No.9, Helvetia, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20214, Indonesia",,,,,4.7,76,+62 61 8474292,http://www.medan.kapusin.org/p/kontak.html,https://www.google.com/maps/place/?q=place_id:ChIJZSsGE28uMTAR43Z-4bbFzkU
ChIJg9B1r1gvMTARjhNFs--upu0,The Church of Jesus Christ of Latter-day Saints,"Jl. Sei Babalan No.20, Sei Sikambing D, Medan Petisah, Medan City, North Sumatra 20114, Indonesia",,,,,5,3,+62 812-6349-6240,http://churchofjesuschrist.org/comeuntochrist,https://www.google.com/maps/place/?q=place_id:ChIJg9B1r1gvMTARjhNFs--upu0
ChIJx-rVMu0xMTARV8f74IAUtpI,GBI Nibung Raya - Rayon 3 Medan,"Jl. Nibung II No.29-30, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20111, Indonesia",,,,,4.7,17,+62 822-7673-5557,,https://www.google.com/maps/place/?q=place_id:ChIJx-rVMu0xMTARV8f74IAUtpI
ChIJP2QdQKAxMTARZ3r5FQ2Dvkw,GKPI Jemaat Khusus Sentosa Medan,"20222, Gang Sehati, Sei Kera Hilir I, Medan Perjuangan, Sei Kera Hilir I, Kec. Medan Perjuangan, Kota Medan, Sumatera Utara 20226, Indonesia",,,,,4.7,18,,,https://www.google.com/maps/place/?q=place_id:ChIJP2QdQKAxMTARZ3r5FQ2Dvkw
ChIJc5SKWCsuMTARRlfILx_1XNw,GKPI Sei Bahbolon,"Jl. Sei Bahbolon No.18, Babura, Medan Baru, Medan City, North Sumatra 20153, Indonesia",,,,,4.7,28,,,https://www.google.com/maps/place/?q=place_id:ChIJc5SKWCsuMTARRlfILx_1XNw
ChIJYQvh22cxMTARgS2wizjgLf0,Medan,"Lrg. Samsu No.5, Tegal Sari III, Medan Area, Medan City, North Sumatra 20215, Indonesia",,,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJYQvh22cxMTARgS2wizjgLf0
ChIJMQt5Oi4uMTARcT37gf7G3IM,GBKP Runggun Darussalam,"HJQX+3W5, Sei Sikambing D, Medan Petisah, Medan City, North Sumatra 20113, Indonesia",,,,,4.8,25,,,https://www.google.com/maps/place/?q=place_id:ChIJMQt5Oi4uMTARcT37gf7G3IM
ChIJ_2xyTnIxMTARWD8_2gNlIVw,International Full Gospel Fellowship (IFGF) Medan - Centre Point,"HMVJ+2GX, Komp. Center Point, Gang Buntu, Medan Timur, Medan City, North Sumatra 20232, Indonesia",,,,,5,12,,,https://www.google.com/maps/place/?q=place_id:ChIJ_2xyTnIxMTARWD8_2gNlIVw
ChIJo0v-7ZsxMTARf-DfAeBjszU,GKPI Gg Sado Medan,"JM4X+C5P, Jl. Taduan, Sidorejo, Medan Tembung, Medan City, North Sumatra 20222, Indonesia",,,,,4.5,26,,,https://www.google.com/maps/place/?q=place_id:ChIJo0v-7ZsxMTARf-DfAeBjszU
ChIJGbpBNSUuMTARTRmv-Xa2jac,GKPI Jemaat Khusus Sei Putih,"Jl. Mistar No.20, Sei Sikambing C. II, Medan Helvetia, Medan City, North Sumatra 20118, Indonesia",,,,,4.8,14,+62 61 4563242,,https://www.google.com/maps/place/?q=place_id:ChIJGbpBNSUuMTARTRmv-Xa2jac
ChIJJZt9FZQxMTARLu9DO0kUq1c,GBI - Gereja Bethel Indonesia Pelita Kasih,"Jl. Pelita I No.44, Sidorame Barat I, Medan Perjuangan, Medan City, North Sumatra 20233, Indonesia",,,,,4.5,24,+62 821-6012-9717,,https://www.google.com/maps/place/?q=place_id:ChIJJZt9FZQxMTARLu9DO0kUq1c
ChIJm2A2T-sxMTAROhElQEycD5w,EVERY NATION MEDAN,"Jl. Kapten Maulana Lubis No.8 Lantai 3, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112, Indonesia",,,,,5,1,+62 877-4351-7984,,https://www.google.com/maps/place/?q=place_id:ChIJm2A2T-sxMTAROhElQEycD5w
ChIJKSmo1SEwMTARVzDwdfw8JGM,GKPI Padang Bulan Medan,"Gg. Sehati No.352, Padang Bulan, Medan Baru, Medan City, North Sumatra 20157, Indonesia",,,,,4.8,434,,http://gkpipadangbulan.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJKSmo1SEwMTARVzDwdfw8JGM
ChIJuRa4_sU7MTARLJKLiJpA6_Q,GKPI Johor Indah,"GM76+6JJ, Deli Tua, Namorambe, Deli Serdang Regency, North Sumatra 20146, Indonesia",,,,,5,6,,,https://www.google.com/maps/place/?q=place_id:ChIJuRa4_sU7MTARLJKLiJpA6_Q
ChIJNSLFehgyMTARVgGbeAn6APc,GPIB Filadelfia Medan,"Jl. Gunung Krakatau No.14 A, Pulo Brayan Darat II, Kec. Medan Tim., Kota Medan, Sumatera Utara 20239, Indonesia",,,,,4.8,59,+62 61 6623242,https://instagram.com/gpibfiladelfiamdn?igshid=YzAwZjE1ZTI0Zg==,https://www.google.com/maps/place/?q=place_id:ChIJNSLFehgyMTARVgGbeAn6APc
