Nama Tempat,Alamat Lengkap,Latitude,Longitude,Jam Buka,Kategori,Agama,Rating,Jumlah Ulasan,Website,Link Google Maps
Graha Bunda Maria Annai Velangkanni,"Jl. Taman Sakura Indah Jl. Sakura III No.7-10, Tanjung Selamat, Medan Tuntungan, Medan City, North Sumatra 20135, Indonesia",,,,Gereja,Katolik,4.8,4649.0,http://www.velangkanni.com/,https://www.google.com/maps/place/?q=place_id:ChIJe43XdHEuMTAROd5xOFsTihY
Vihara Gunung Timur,"Jl. Hang Tuah No.16, Madras Hulu, Medan Polonia, Medan City, North Sumatra 20151, Indonesia",,,,Vihara,Buddha,4.7,543.0,,https://www.google.com/maps/place/?q=place_id:ChIJz_41qy0wMTARGhpYhUhdZAE
Maha Vihara Maitreya,"Medan, Komplek Perumahan Cemara Asri Jl. Cemara Asri Boulevard Raya No.8, Percut Sei Tuan, Deli Serdang Regency, North Sumatra 20371, Indonesia",,,,Vihara,Buddha,4.7,4315.0,http://www.mahaviharamaitreya.org/,https://www.google.com/maps/place/?q=place_id:ChIJXUfj_zQyMTARJ2nhP5FokfI
Mariamman Temple,"Jl. Teuku Umar No.18, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20151, Indonesia",,,,Pura,Hindu,4.6,967.0,,https://www.google.com/maps/place/?q=place_id:ChIJaexxOdQxMTARt3BU1MPMyK0
Wisata Rohani Medan (Ziarek Tour Medan),"Jl. Busi No.3, Kampung Baru, Medan Maimun, Medan City, North Sumatra 20219, Indonesia",,,,Lainnya,Tidak Diketahui,,,https://wisatarohanimedan.com/,https://www.google.com/maps/place/?q=place_id:ChIJXa1FqYoxMTARo2uqjLM_5tU
Vihara Gunung Timur Sakti,"JL. AR. Hakim, No. 24, Sukaramai II, Kec. Medan Area, Kota Medan, Sumatera Utara 20224, Indonesia",,,,Vihara,Buddha,4.8,59.0,,https://www.google.com/maps/place/?q=place_id:ChIJlXv7raoxMTARIhy9L4UGHOU
Masjid Agung Kota Medan Sumatera Utara,"Jl. Pangeran Diponegoro, Madras Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara, Indonesia",,,,Masjid,Islam,4.8,4088.0,http://www.sumutprov.go.id/,https://www.google.com/maps/place/?q=place_id:ChIJi5MuR80xMTARc3lHD5sl7rw
Cathedral of Immaculate Conception,"Jl. Pemuda No.1, A U R, Medan Maimun, Medan City, North Sumatra 20212, Indonesia",,,,Lainnya,Tidak Diketahui,4.8,690.0,https://katedralmedan.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJ9cxMfsoxMTARnnrHhUR7hfw
Al-Osmani Mosque,"JL Kol Yos Sudarso, Km. 19, 5, Labuhan, Pekan Labuhan, Kec. Medan Labuhan, Kota Medan, Sumatera Utara 20252, Indonesia",,,,Masjid,Islam,4.8,1087.0,http://www.medanwisata.com/2014/03/masjid-raya-al-osmani-medan-sumatera.html,https://www.google.com/maps/place/?q=place_id:ChIJR_Z-FnbNNjAR1xTb6X8xWMc
Wat Phakor,"Jl. Danau Ranau No.22F, Sei Agul, Medan Barat, Medan City, North Sumatra 20114, Indonesia",,,,Lainnya,Tidak Diketahui,5.0,9.0,,https://www.google.com/maps/place/?q=place_id:ChIJaRymPB8uMTARuV7mxMgh41w
MASJID RAYA ACEH SEPAKAT,"HMP6+3RG, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111, Indonesia",,,,Masjid,Islam,4.9,704.0,,https://www.google.com/maps/place/?q=place_id:ChIJ2aVf2tUxMTARWLeiabXrpu8
Tjong A Fie Mansion,"Jl. Jend. Ahmad Yani No.105, Kesawan, Medan Barat, Medan City, North Sumatra 20111, Indonesia",,,,Lainnya,Tidak Diketahui,4.6,3274.0,http://www.tjongafiemansion.org/,https://www.google.com/maps/place/?q=place_id:ChIJZ4ThickxMTARvvjDDIvvrcw
Siu San Keng Temple (寿山宫),"PMMG+73M, Jl. Syahbudin Yatim, Pekan Labuhan, Medan Labuhan, Medan City, North Sumatra 20253, Indonesia",,,,Pura,Hindu,4.8,191.0,,https://www.google.com/maps/place/?q=place_id:ChIJZZRkn3HNNjARXgATg1An1rc
Vihara Loka Santi லோகா சாந்தி விகாரை,"JL. Karya Pembangunan, Gg. E /50, Polonia, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20157, Indonesia",,,,Vihara,Buddha,4.9,23.0,,https://www.google.com/maps/place/?q=place_id:ChIJ9YBJ2iUwMTARtr8RvOUCmEY
Catholic Church of Christ the King Parish,"Jl. M. T. Haryono No.36, Pusat Pasar, Medan Kota, Medan City, North Sumatra 20212, Indonesia",,,,Gereja,Kristen,4.8,244.0,https://instagram.com/omkkr_mdn?igshid=YzAwZjE1ZTI0Zg==,https://www.google.com/maps/place/?q=place_id:ChIJb-19uLYxMTARTXNJJicIqaE
Yayasan Gereja Methodist Indonesia Jemaat Gloria Medan 印尼卫理公会棉兰荣耀堂,"Jl. M. T. Haryono No.38, Pusat Pasar, Medan Kota, Medan City, North Sumatra 20212, Indonesia",,,,Gereja,Kristen,4.8,151.0,http://gmigloria.org/,https://www.google.com/maps/place/?q=place_id:ChIJ87P4z7YxMTARC31yYFgMyWU
Wesley Methodist Church Medan,"Jl. Sultan Agung No.9, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20111, Indonesia",,,,Gereja,Kristen,4.8,84.0,https://youtube.com/@WesleyMethodistChurchMedan?feature=shared,https://www.google.com/maps/place/?q=place_id:ChIJY2qa4tYxMTARqM2X2AU3bAg
Kuria Keuskupan Agung Medan,"Jl. Imam Bonjol No.39, J A T I, Medan Maimun, Medan City, North Sumatra, Indonesia",,,,Lainnya,Tidak Diketahui,4.8,71.0,http://archdioceseofmedan.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJU4ISvTYwMTARfEGxf6L9rRE
ELS Ministry Medan,"Jl. K.H. Wahid Hasyim No.53/72, Babura, Medan Baru, Medan City, North Sumatra 20154, Indonesia",,,,Lainnya,Tidak Diketahui,4.0,1.0,,https://www.google.com/maps/place/?q=place_id:ChIJn9xwUawvMTARpjK_CEdgvMU
Church of Christian Assembly,"Jl. Gunung Krakatau No.35, Pulo Brayan Darat II, Medan Timur, Medan City, North Sumatra 20116, Indonesia",,,,Gereja,Kristen,4.9,303.0,http://www.ccamedan.org/,https://www.google.com/maps/place/?q=place_id:ChIJrTXKvRgyMTARQY12Jsfs1gI
Biara Kapusin Emmaus,"Jl. Beringin 3 No.9, Helvetia, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20214, Indonesia",,,,Lainnya,Tidak Diketahui,4.7,76.0,http://www.medan.kapusin.org/p/kontak.html,https://www.google.com/maps/place/?q=place_id:ChIJZSsGE28uMTAR43Z-4bbFzkU
The Church of Jesus Christ of Latter-day Saints,"Jl. Sei Babalan No.20, Sei Sikambing D, Medan Petisah, Medan City, North Sumatra 20114, Indonesia",,,,Gereja,Kristen,5.0,3.0,http://churchofjesuschrist.org/comeuntochrist,https://www.google.com/maps/place/?q=place_id:ChIJg9B1r1gvMTARjhNFs--upu0
GBI Nibung Raya - Rayon 3 Medan,"Jl. Nibung II No.29-30, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20111, Indonesia",,,,Gereja,Kristen,4.7,17.0,,https://www.google.com/maps/place/?q=place_id:ChIJx-rVMu0xMTARV8f74IAUtpI
GKPI Jemaat Khusus Sentosa Medan,"20222, Gang Sehati, Sei Kera Hilir I, Medan Perjuangan, Sei Kera Hilir I, Kec. Medan Perjuangan, Kota Medan, Sumatera Utara 20226, Indonesia",,,,Gereja,Kristen,4.7,18.0,,https://www.google.com/maps/place/?q=place_id:ChIJP2QdQKAxMTARZ3r5FQ2Dvkw
GKPI Sei Bahbolon,"Jl. Sei Bahbolon No.18, Babura, Medan Baru, Medan City, North Sumatra 20153, Indonesia",,,,Gereja,Kristen,4.7,28.0,,https://www.google.com/maps/place/?q=place_id:ChIJc5SKWCsuMTARRlfILx_1XNw
Medan,"Lrg. Samsu No.5, Tegal Sari III, Medan Area, Medan City, North Sumatra 20215, Indonesia",,,,Lainnya,Tidak Diketahui,,,,https://www.google.com/maps/place/?q=place_id:ChIJYQvh22cxMTARgS2wizjgLf0
GBKP Runggun Darussalam,"HJQX+3W5, Sei Sikambing D, Medan Petisah, Medan City, North Sumatra 20113, Indonesia",,,,Lainnya,Tidak Diketahui,4.8,25.0,,https://www.google.com/maps/place/?q=place_id:ChIJMQt5Oi4uMTARcT37gf7G3IM
International Full Gospel Fellowship (IFGF) Medan - Centre Point,"HMVJ+2GX, Komp. Center Point, Gang Buntu, Medan Timur, Medan City, North Sumatra 20232, Indonesia",,,,Lainnya,Tidak Diketahui,5.0,12.0,,https://www.google.com/maps/place/?q=place_id:ChIJ_2xyTnIxMTARWD8_2gNlIVw
GKPI Gg Sado Medan,"JM4X+C5P, Jl. Taduan, Sidorejo, Medan Tembung, Medan City, North Sumatra 20222, Indonesia",,,,Gereja,Kristen,4.5,26.0,,https://www.google.com/maps/place/?q=place_id:ChIJo0v-7ZsxMTARf-DfAeBjszU
GKPI Jemaat Khusus Sei Putih,"Jl. Mistar No.20, Sei Sikambing C. II, Medan Helvetia, Medan City, North Sumatra 20118, Indonesia",,,,Gereja,Kristen,4.8,14.0,,https://www.google.com/maps/place/?q=place_id:ChIJGbpBNSUuMTARTRmv-Xa2jac
GBI - Gereja Bethel Indonesia Pelita Kasih,"Jl. Pelita I No.44, Sidorame Barat I, Medan Perjuangan, Medan City, North Sumatra 20233, Indonesia",,,,Gereja,Kristen,4.5,24.0,,https://www.google.com/maps/place/?q=place_id:ChIJJZt9FZQxMTARLu9DO0kUq1c
EVERY NATION MEDAN,"Jl. Kapten Maulana Lubis No.8 Lantai 3, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112, Indonesia",,,,Lainnya,Tidak Diketahui,5.0,1.0,,https://www.google.com/maps/place/?q=place_id:ChIJm2A2T-sxMTAROhElQEycD5w
GKPI Padang Bulan Medan,"Gg. Sehati No.352, Padang Bulan, Medan Baru, Medan City, North Sumatra 20157, Indonesia",,,,Gereja,Kristen,4.8,434.0,http://gkpipadangbulan.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJKSmo1SEwMTARVzDwdfw8JGM
GKPI Johor Indah,"GM76+6JJ, Deli Tua, Namorambe, Deli Serdang Regency, North Sumatra 20146, Indonesia",,,,Gereja,Kristen,5.0,6.0,,https://www.google.com/maps/place/?q=place_id:ChIJuRa4_sU7MTARLJKLiJpA6_Q
GPIB Filadelfia Medan,"Jl. Gunung Krakatau No.14 A, Pulo Brayan Darat II, Kec. Medan Tim., Kota Medan, Sumatera Utara 20239, Indonesia",,,,Gereja,Kristen,4.8,59.0,https://instagram.com/gpibfiladelfiamdn?igshid=YzAwZjE1ZTI0Zg==,https://www.google.com/maps/place/?q=place_id:ChIJNSLFehgyMTARVgGbeAn6APc
GKI Sumut Medan,"Jl. KH. Zainul Arifin No.124-126, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20152, Indonesia",,,,Gereja,Kristen,4.8,121.0,https://instagram.com/gkisumedan?igshid=YzAwZjE1ZTI0Zg==,https://www.google.com/maps/place/?q=place_id:ChIJfRHNbdIxMTARddNgw1bnuTM
GKPI Sei Agul,"JM26+MFV, Jl. Orde Baru, Sei Agul, Medan Barat, Medan City, North Sumatra 20117, Indonesia",,,,Gereja,Kristen,4.6,34.0,,https://www.google.com/maps/place/?q=place_id:ChIJ0-R5EuAxMTAR1WlrpBJVI0g
GKPI Jemaat Khusus Air Bersih,"Jl. Air Bersih No.27, Sudirejo I, Medan Kota, Medan City, North Sumatra 20216, Indonesia",,,,Gereja,Kristen,4.7,71.0,http://www.gkpi.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJk-D-ZmcwMTARjQDpZx77bsI
GKPI Jemaat Khusus Simpang Limun,"Jl. Kemiri 3 No.42, Sudirejo II, Medan Kota, Medan City, North Sumatra 20216, Indonesia",,,,Gereja,Kristen,4.5,33.0,,https://www.google.com/maps/place/?q=place_id:ChIJEz0IzpoxMTARr2NHe5o3D4I
The Protestant Fellowship Church,"Jl. Sempurna No.229, Binjai, Medan Denai, Medan City, North Sumatra 20228, Indonesia",,,,Gereja,Kristen,4.9,33.0,,https://www.google.com/maps/place/?q=place_id:ChIJKeXR8l8wMTARxmG85_klq6o
Gereja Kristen Protestan Indonesia,"Jl. Setia Budi No.207, Tj. Rejo, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20122, Indonesia",,,,Gereja,Kristen,4.8,20.0,,https://www.google.com/maps/place/?q=place_id:ChIJ8Tqy18AvMTARmICZQth6z-I
GKPS Kampung Durian,"Jl. Mapilindo No.21, Glugur Darat II, Medan Timur, Medan City, North Sumatra 20238, Indonesia",,,,Lainnya,Tidak Diketahui,4.5,49.0,http://www.gkps.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJmzJ0p40xMTARbJZ-srM5dDw
GKPI Resort Khusus Glugur Darat,"JM7H+VQ8, Jl. Gn. Seulawah, Glugur Darat I, Medan Timur, Medan City, North Sumatra 20238, Indonesia",,,,Gereja,Kristen,4.8,14.0,http://www.gkpi.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJAXZDdvMxMTARa8PsegcKMDE
GKPI Bromo Ujung,"Jl. Bromo No.25A, Binjai, Medan Denai, Medan City, North Sumatra 20226, Indonesia",,,,Gereja,Kristen,5.0,6.0,http://www.gkpi.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJgc3VUPswMTARv7jnw5RwbEA
International Church Medan,"Centre Point Mall, Jl. Jawa No.8 Level 01-01, Gang Buntu, Medan Timur, Medan City, North Sumatra 20231, Indonesia",,,,Gereja,Kristen,4.8,72.0,https://icmedan.com/,https://www.google.com/maps/place/?q=place_id:ChIJtZEqx9MxMTARm-95XfK_1Q8
Gereja Kristen Protestan Indonesia,"JL. Sekip, No. 38, Sei Agul, Sekip, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111, Indonesia",,,,Gereja,Kristen,5.0,2.0,http://www.gkpi.or.id/,https://www.google.com/maps/place/?q=place_id:ChIJp0PeiN4xMTARO51pd3_hzlI
