Nama Tempat,Alamat Lengkap,Jam Buka,Kategori,Agama,Rating,Jumlah Ulasan,Link Google Maps
Graha Bunda Maria Annai Velangkanni,"Jl. Taman Sakura Indah Jl. Sakura III No.7-10, Tanjung Selamat, Medan Tuntungan, Medan City, North Sumatra 20135, Indonesia","Senin - Jumat: 08:00 - 18:00, Sabtu - Minggu: 08:00 - 19:00",Gereja,Katolik,4.8,4649.0,https://www.google.com/maps/place/?q=place_id:ChIJe43XdHEuMTAROd5xOFsTihY
Vihara Gunung Timur,"Jl. Hang Tuah No.16, Madras Hulu, Medan Polonia, Medan City, North Sumatra 20151, Indonesia",Senin - Minggu: 08:00 - 16:00,Vihara,Buddha,4.7,543.0,https://www.google.com/maps/place/?q=place_id:ChIJz_41qy0wMTARGhpYhUhdZAE
Maha Vihara Maitreya,"Medan, Komplek Perumahan Cemara Asri Jl. Cemara Asri Boulevard Raya No.8, Percut Sei Tuan, Deli Serdang Regency, North Sumatra 20371, Indonesia",Senin - Minggu: 06:00 - 20:00,Vihara,Buddha,4.7,4315.0,https://www.google.com/maps/place/?q=place_id:ChIJXUfj_zQyMTARJ2nhP5FokfI
Mariamman Temple,"Jl. Teuku Umar No.18, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20151, Indonesia","Senin - Minggu: 06:00 - 12:00, 16:00 - 20:00",Pura,Hindu,4.6,967.0,https://www.google.com/maps/place/?q=place_id:ChIJaexxOdQxMTARt3BU1MPMyK0
Vihara Gunung Timur Sakti,"JL. AR. Hakim, No. 24, Sukaramai II, Kec. Medan Area, Kota Medan, Sumatera Utara 20224, Indonesia",Senin - Minggu: 07:00 - 17:00,Vihara,Buddha,4.8,59.0,https://www.google.com/maps/place/?q=place_id:ChIJlXv7raoxMTARIhy9L4UGHOU
Masjid Agung Kota Medan Sumatera Utara,"Jl. Pangeran Diponegoro, Madras Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara, Indonesia",Senin - Minggu: 24 Jam,Masjid,Islam,4.8,4088.0,https://www.google.com/maps/place/?q=place_id:ChIJi5MuR80xMTARc3lHD5sl7rw
Al-Osmani Mosque,"JL Kol Yos Sudarso, Km. 19, 5, Labuhan, Pekan Labuhan, Kec. Medan Labuhan, Kota Medan, Sumatera Utara 20252, Indonesia",Senin - Minggu: 08:00 - 16:00,Masjid,Islam,4.8,1087.0,https://www.google.com/maps/place/?q=place_id:ChIJR_Z-FnbNNjAR1xTb6X8xWMc
MASJID RAYA ACEH SEPAKAT,"HMP6+3RG, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111, Indonesia",Senin - Minggu: 24 Jam,Masjid,Islam,4.9,704.0,https://www.google.com/maps/place/?q=place_id:ChIJ2aVf2tUxMTARWLeiabXrpu8
Siu San Keng Temple (寿山宫),"PMMG+73M, Jl. Syahbudin Yatim, Pekan Labuhan, Medan Labuhan, Medan City, North Sumatra 20253, Indonesia",Senin - Minggu: 24 Jam,Pura,Hindu,4.8,191.0,https://www.google.com/maps/place/?q=place_id:ChIJZZRkn3HNNjARXgATg1An1rc
Vihara Loka Santi லோகா சாந்தி விகாரை,"JL. Karya Pembangunan, Gg. E /50, Polonia, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20157, Indonesia",Jumat: 18:00,Vihara,Buddha,4.9,23.0,https://www.google.com/maps/place/?q=place_id:ChIJ9YBJ2iUwMTARtr8RvOUCmEY
Catholic Church of Christ the King Parish,"Jl. M. T. Haryono No.36, Pusat Pasar, Medan Kota, Medan City, North Sumatra 20212, Indonesia",Senin - Jumat: 06:00 - 18:00,Gereja,Kristen,4.8,244.0,https://www.google.com/maps/place/?q=place_id:ChIJb-19uLYxMTARTXNJJicIqaE
Yayasan Gereja Methodist Indonesia Jemaat Gloria Medan 印尼卫理公会棉兰荣耀堂,"Jl. M. T. Haryono No.38, Pusat Pasar, Medan Kota, Medan City, North Sumatra 20212, Indonesia",,Gereja,Kristen,4.8,151.0,https://www.google.com/maps/place/?q=place_id:ChIJ87P4z7YxMTARC31yYFgMyWU
Wesley Methodist Church Medan,"Jl. Sultan Agung No.9, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20111, Indonesia",Senin - Sabtu: 09:00 - 17:00,Gereja,Kristen,4.8,84.0,https://www.google.com/maps/place/?q=place_id:ChIJY2qa4tYxMTARqM2X2AU3bAg
Church of Christian Assembly,"Jl. Gunung Krakatau No.35, Pulo Brayan Darat II, Medan Timur, Medan City, North Sumatra 20116, Indonesia","Kamis: 06:30 - 21:00, Sabtu: 06:30 - 21:00, Minggu: 06:30 - 13:300",Gereja,Kristen,4.9,303.0,https://www.google.com/maps/place/?q=place_id:ChIJrTXKvRgyMTARQY12Jsfs1gI
The Church of Jesus Christ of Latter-day Saints,"Jl. Sei Babalan No.20, Sei Sikambing D, Medan Petisah, Medan City, North Sumatra 20114, Indonesia",Senin - Minggu: 09:00 - 18:00,Gereja,Kristen,5.0,3.0,https://www.google.com/maps/place/?q=place_id:ChIJg9B1r1gvMTARjhNFs--upu0
GBI Nibung Raya - Rayon 3 Medan,"Jl. Nibung II No.29-30, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20111, Indonesia",,Gereja,Kristen,4.7,17.0,https://www.google.com/maps/place/?q=place_id:ChIJx-rVMu0xMTARV8f74IAUtpI
GKPI Jemaat Khusus Sentosa Medan,"20222, Gang Sehati, Sei Kera Hilir I, Medan Perjuangan, Sei Kera Hilir I, Kec. Medan Perjuangan, Kota Medan, Sumatera Utara 20226, Indonesia",,Gereja,Kristen,4.7,18.0,https://www.google.com/maps/place/?q=place_id:ChIJP2QdQKAxMTARZ3r5FQ2Dvkw
GKPI Sei Bahbolon,"Jl. Sei Bahbolon No.18, Babura, Medan Baru, Medan City, North Sumatra 20153, Indonesia",,Gereja,Kristen,4.7,28.0,https://www.google.com/maps/place/?q=place_id:ChIJc5SKWCsuMTARRlfILx_1XNw
GKPI Gg Sado Medan,"JM4X+C5P, Jl. Taduan, Sidorejo, Medan Tembung, Medan City, North Sumatra 20222, Indonesia",,Gereja,Kristen,4.5,26.0,https://www.google.com/maps/place/?q=place_id:ChIJo0v-7ZsxMTARf-DfAeBjszU
GKPI Jemaat Khusus Sei Putih,"Jl. Mistar No.20, Sei Sikambing C. II, Medan Helvetia, Medan City, North Sumatra 20118, Indonesia",,Gereja,Kristen,4.8,14.0,https://www.google.com/maps/place/?q=place_id:ChIJGbpBNSUuMTARTRmv-Xa2jac
GBI - Gereja Bethel Indonesia Pelita Kasih,"Jl. Pelita I No.44, Sidorame Barat I, Medan Perjuangan, Medan City, North Sumatra 20233, Indonesia",,Gereja,Kristen,4.5,24.0,https://www.google.com/maps/place/?q=place_id:ChIJJZt9FZQxMTARLu9DO0kUq1c
GKPI Padang Bulan Medan,"Gg. Sehati No.352, Padang Bulan, Medan Baru, Medan City, North Sumatra 20157, Indonesia",,Gereja,Kristen,4.8,434.0,https://www.google.com/maps/place/?q=place_id:ChIJKSmo1SEwMTARVzDwdfw8JGM
GKPI Johor Indah,"GM76+6JJ, Deli Tua, Namorambe, Deli Serdang Regency, North Sumatra 20146, Indonesia",,Gereja,Kristen,5.0,6.0,https://www.google.com/maps/place/?q=place_id:ChIJuRa4_sU7MTARLJKLiJpA6_Q
GPIB Filadelfia Medan,"Jl. Gunung Krakatau No.14 A, Pulo Brayan Darat II, Kec. Medan Tim., Kota Medan, Sumatera Utara 20239, Indonesia",,Gereja,Kristen,4.8,59.0,https://www.google.com/maps/place/?q=place_id:ChIJNSLFehgyMTARVgGbeAn6APc
GKI Sumut Medan,"Jl. KH. Zainul Arifin No.124-126, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20152, Indonesia","Senin - Sabtu: 09:00 - 15:00, Minggu: 06:00 - 19:00",Gereja,Kristen,4.8,121.0,https://www.google.com/maps/place/?q=place_id:ChIJfRHNbdIxMTARddNgw1bnuTM
GKPI Sei Agul,"JM26+MFV, Jl. Orde Baru, Sei Agul, Medan Barat, Medan City, North Sumatra 20117, Indonesia",,Gereja,Kristen,4.6,34.0,https://www.google.com/maps/place/?q=place_id:ChIJ0-R5EuAxMTAR1WlrpBJVI0g
GKPI Jemaat Khusus Air Bersih,"Jl. Air Bersih No.27, Sudirejo I, Medan Kota, Medan City, North Sumatra 20216, Indonesia",Senin - Minggu: 24 Jam,Gereja,Kristen,4.7,71.0,https://www.google.com/maps/place/?q=place_id:ChIJk-D-ZmcwMTARjQDpZx77bsI
GKPI Jemaat Khusus Simpang Limun,"Jl. Kemiri 3 No.42, Sudirejo II, Medan Kota, Medan City, North Sumatra 20216, Indonesia",,Gereja,Kristen,4.5,33.0,https://www.google.com/maps/place/?q=place_id:ChIJEz0IzpoxMTARr2NHe5o3D4I
The Protestant Fellowship Church,"Jl. Sempurna No.229, Binjai, Medan Denai, Medan City, North Sumatra 20228, Indonesia",,Gereja,Kristen,4.9,33.0,https://www.google.com/maps/place/?q=place_id:ChIJKeXR8l8wMTARxmG85_klq6o
Gereja Kristen Protestan Indonesia,"Jl. Setia Budi No.207, Tj. Rejo, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20122, Indonesia",,Gereja,Kristen,4.8,20.0,https://www.google.com/maps/place/?q=place_id:ChIJ8Tqy18AvMTARmICZQth6z-I
GKPI Resort Khusus Glugur Darat,"JM7H+VQ8, Jl. Gn. Seulawah, Glugur Darat I, Medan Timur, Medan City, North Sumatra 20238, Indonesia",,Gereja,Kristen,4.8,14.0,https://www.google.com/maps/place/?q=place_id:ChIJAXZDdvMxMTARa8PsegcKMDE
GKPI Bromo Ujung,"Jl. Bromo No.25A, Binjai, Medan Denai, Medan City, North Sumatra 20226, Indonesia",,Gereja,Kristen,5.0,6.0,https://www.google.com/maps/place/?q=place_id:ChIJgc3VUPswMTARv7jnw5RwbEA
International Church Medan,"Centre Point Mall, Jl. Jawa No.8 Level 01-01, Gang Buntu, Medan Timur, Medan City, North Sumatra 20231, Indonesia","Selasa - Kamis: 10:00 - 16:00, Minggu: 09:00 - 18:00",Gereja,Kristen,4.8,72.0,https://www.google.com/maps/place/?q=place_id:ChIJtZEqx9MxMTARm-95XfK_1Q8
Gereja Kristen Protestan Indonesia,"JL. Sekip, No. 38, Sei Agul, Sekip, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111, Indonesia",,Gereja,Kristen,5.0,2.0,https://www.google.com/maps/place/?q=place_id:ChIJp0PeiN4xMTARO51pd3_hzlI
GKPI Immanuel Medan Utara,"Jalan Kawat 3 Ujung No.75, Tanjung Mulia Hilir, Medan Deli, Medan City, North Sumatra 20241, Indonesia",,Gereja,Kristen,4.1,7.0,https://www.google.com/maps/place/?q=place_id:ChIJtzHtu24yMTARYS2Xuvm0RCQ
GKPS - Gereja Kristen Protestan Simalungun Jemaat Hang Tuah,"Jl. Teuku Cik Ditiro No.1, Madras Hulu, Medan Polonia, Medan City, North Sumatra 20152, Indonesia",,Gereja,Kristen,4.8,13.0,https://www.google.com/maps/place/?q=place_id:ChIJsc2z2a8xMTARbY2nVUU04Hk
GKPI Partahanan,"Jl. Tombak No.66 E, Sidorejo Hilir, Medan Tembung, Medan City, North Sumatra 20222, Indonesia",,Gereja,Kristen,4.5,15.0,https://www.google.com/maps/place/?q=place_id:ChIJm-QQF4IxMTARLV6ii-4e1hw
Masjid Raya Al-Mashun,"Jl. Mahkamah No.74c, RT.02, Mesjid, Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia",Senin - Minggu: 04:00 - 00:00,Masjid,Islam,4.8,1906.0,https://www.google.com/maps/place/?q=place_id:ChIJ8Y0xVEkwMTAR5bo4vV26z9k
Masjid ANNAZHIRIN,"GMC6+7VJ, Jl. Eka Warni, Gedung Johor, Medan Johor, Medan City, North Sumatra 20146, Indonesia",Senin - Minggu: 24 Jam,Masjid,Islam,4.9,1109.0,https://www.google.com/maps/place/?q=place_id:ChIJgWJdY7U6MTAR81FFChcmCFg
Masjid Lama Gang Bengkok,"Jl. Mesjid No.62, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20212, Indonesia",Senin - Minggu: 24 Jam,Masjid,Islam,4.8,1035.0,https://www.google.com/maps/place/?q=place_id:ChIJIVBJFckxMTARZj9913s2Kko
Masjid Raya Datuk Badiuzzaman Surbakti,"HJ95+RWC, Sunggal, Medan Sunggal, Medan City, North Sumatra 20128, Indonesia",Senin - Minggu: 24 Jam,Masjid,Islam,4.8,110.0,https://www.google.com/maps/place/?q=place_id:ChIJg-P5Ow8vMTARg-aHic0hvBI
Masjid Ghaudiyah,"HMM9+M98, Jl. KH. Zainul Arifin, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112, Indonesia",Senin - Minggu: 24 Jam,Masjid,Islam,4.7,105.0,https://www.google.com/maps/place/?q=place_id:ChIJ5V2fNdIxMTAReYvcHo22EPk
Al-Jihad Mosque,"HMH5+38G, Jl. Masjid Al Jihad No.22a, Babura, Medan Baru, Medan City, North Sumatra 20222, Indonesia",Senin - Jumat: 08:00 - 17:00,Masjid,Islam,4.9,4099.0,https://www.google.com/maps/place/?q=place_id:ChIJf7UJvdUvMTARk0nNjr6UsZ4
